time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
0.0,10.980869944926194,5.9999997978308794,-5.99999992705688,-3.5572287994691814,11.987112,-0.27605775,-3.0386024,-2.3560927,16.427908,-10.433682,2.219563,0.12565067,-0.4000597,0.33828384,0.84245366,-12.4194355,-2.4938538,0.37275848,2.1962318,-0.07443921,-0.97920495,0
0.01,10.980869944926194,5.9999997978308794,-5.99999992705688,-3.5572287994691814,11.175282,-1.7717679,-5.285942,-0.20173016,16.30327,-10.45811,2.2231405,0.13505799,-0.39896098,0.34559268,0.83854353,-12.507739,-2.3916075,0.3423069,2.3593864,-0.5690723,-1.0672691,0
0.02,10.980869944926194,5.9999997978308794,-5.99999992705688,-3.5572287994691814,11.175282,-1.7717679,-5.285942,-0.20173016,16.177769,-10.481515,2.2264,0.14596494,-0.39584035,0.35305494,0.83507895,-12.591759,-2.289224,0.30920482,2.5340924,-1.0236148,-1.154322,0
0.03,10.980869944926194,5.9999997978308794,-5.99999992705688,-3.5572287994691814,11.175282,-1.7717679,-5.285942,-0.20173016,16.051449,-10.503894,2.2293172,0.15832588,-0.39083076,0.36069754,0.8319143,-12.67104,-2.1866047,0.27393556,2.7173305,-1.4430962,-1.2403042,0
0.04,10.980869944926194,5.9999997978308794,-5.99999992705688,-3.5572287994691814,9.024142,-1.6145955,-5.844091,-1.0465001,15.924363,-10.525246,2.2318728,0.17209058,-0.38404006,0.36852965,0.8289052,-12.745171,-2.0836926,0.23690456,2.906624,-1.8318338,-1.3251655,0
0.05,10.980869944926194,5.9999997978308794,-5.99999992705688,-3.5572287994691814,9.024142,-1.6145955,-5.844091,-1.0465001,15.796563,-10.545567,2.2340505,0.18720417,-0.3755554,0.37654567,0.8259092,-12.813779,-1.9804747,0.19844946,3.0999491,-2.1935387,-1.4088641,0
0.060000000000000005,10.980869944926194,5.9999997978308794,-5.99999992705688,-3.5572287994691814,9.024142,-1.6145955,-5.844091,-1.0465001,15.668107,-10.564854,2.235838,0.20360711,-0.3654473,0.38472763,0.82278615,-12.876523,-1.8769883,0.15884835,3.295657,-2.5314028,-1.4913657,0
0.07,10.980869944926194,5.9999997978308794,-5.99999992705688,-3.5572287994691814,9.024142,-1.6145955,-5.844091,-1.0465001,15.539054,-10.583106,2.2372243,0.22123508,-0.353773,0.393047,0.8193984,-12.933092,-1.7733212,0.11832707,3.4924102,-2.8481755,-1.5726423,0
0.08,14.118343062922975,5.999999895267246,-5.999999959315176,-3.1074369133998707,13.344937,-1.2580318,-7.2487617,0.93969923,15.409468,-10.600322,2.2382016,0.2400188,-0.3405792,0.40146622,0.8156112,-12.983204,-1.6696131,0.07706529,3.6891313,-3.1462274,-1.6526723,0
0.09,14.118343062922975,5.999999895267246,-5.999999959315176,-3.1074369133998707,13.344937,-1.2580318,-7.2487617,0.93969923,15.279383,-10.616429,2.2388022,0.26013997,-0.32549584,0.41015598,0.8112655,-13.032531,-1.55184,0.042922527,4.0323324,-3.575271,-1.7225453,0
0.09999999999999999,14.118343062922975,5.999999895267246,-5.999999959315176,-3.1074369133998707,13.344937,-1.2580318,-7.2487617,0.93969923,15.148844,-10.631355,2.2390606,0.2817,-0.3082196,0.41920564,0.8061715,-13.074171,-1.4331707,0.008944794,4.3385906,-3.953941,-1.7905023,0
0.10999999999999999,14.118343062922975,5.999999895267246,-5.999999959315176,-3.1074369133998707,13.344937,-1.2580318,-7.2487617,0.93969923,15.017926,-10.645086,2.2389843,0.30442604,-0.28899258,0.42840487,0.8001733,-13.10791,-1.3125575,-0.024030648,4.5971355,-4.2735176,-1.8551247,0
0.11999999999999998,14.118343062922975,5.999999895267246,-5.999999959315176,-3.1074369133998707,13.344937,-1.2580318,-7.2487617,0.93969923,14.886715,-10.657602,2.2385838,0.32805157,-0.26805425,0.43755972,0.79313964,-13.133061,-1.1904316,-0.055956163,4.815405,-4.543218,-1.9165759,0
0.12999999999999998,19.323295946074833,5.999999934089368,-5.999999971041794,-2.420137303882307,14.335869,-0.33023766,-7.342846,0.062293377,14.755298,-10.668891,2.237869,0.35233712,-0.24561675,0.4465053,0.7849611,-13.149042,-1.0673392,-0.086835876,4.9996767,-4.770823,-1.9750118,0
0.13999999999999999,19.323295946074833,5.999999934089368,-5.999999971041794,-2.420137303882307,14.335869,-0.33023766,-7.342846,0.062293377,14.623753,-10.67872,2.236976,0.37700078,-0.22183207,0.45512274,0.7755799,-13.157716,-0.89842415,-0.09157051,5.1553593,-4.9627857,-1.9968542,0
0.15,19.323295946074833,5.999999934089368,-5.999999971041794,-2.420137303882307,14.335869,-0.33023766,-7.342846,0.062293377,14.49219,-10.686862,2.236042,0.40178776,-0.196836,0.46331227,0.7649601,-13.152698,-0.7300541,-0.095065944,5.286801,-5.124781,-2.0176249,0
0.16,20.999998244062038,4.531780166575194,-5.524022918186752,-0.8685222489738935,14.808565,0.3909845,-5.5445104,-0.27910152,14.360747,-10.693327,2.235078,0.42653126,-0.170788,0.470971,0.75305307,-13.133642,-0.5632995,-0.09749631,5.3977766,-5.2614865,-2.0373762,0
0.17,20.999998244062038,4.531780166575194,-5.524022918186752,-0.8685222489738935,14.808565,0.3909845,-5.5445104,-0.27910152,14.22958,-10.698066,2.2341363,0.45075798,-0.14414468,0.477695,0.7401669,-13.097527,-0.38505915,-0.09068411,5.26287,-5.302053,-1.98002,0
0.18000000000000002,20.999998244062038,4.531780166575194,-5.524022918186752,-0.8685222489738935,14.808565,0.3909845,-5.5445104,-0.27910152,14.098849,-10.701043,2.233267,0.47410378,-0.117293395,0.4832025,0.72662455,-13.046312,-0.21104118,-0.08306875,5.149002,-5.336339,-1.9254785,0
0.19000000000000003,20.999998244062038,4.531780166575194,-5.524022918186752,-0.8685222489738935,14.808565,0.3909845,-5.5445104,-0.27910152,13.968704,-10.702306,2.2324777,0.49657503,-0.09027462,0.4875767,0.71241325,-12.980501,-0.042423368,-0.07478285,5.0528913,-5.3653164,-1.8736132,0
0.20000000000000004,20.232544161585388,3.1266699312830983,-3.8813538243377876,-0.5186793459267955,14.252984,-0.6893426,-4.948185,1.417647,13.839288,-10.701914,2.2317734,0.5181729,-0.06312611,0.49088767,0.697525,-12.900651,0.119686395,-0.065991625,4.9717674,-5.389807,-1.8242933,0
