time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
0.0,9.009758670990013,5.583257206906992,-4.606252191536677,0.8793777462557202,17.155228,3.258157,-1.6143205,-0.85150117,14.050671,-11.717693,2.7995865,0.45034352,-0.19878946,0.27561137,0.82565844,-8.169218,-1.5358164,3.0769887,1.2222406,-0.517088,-0.112690255,0
0.01,9.009758670990013,5.583257206906992,-4.606252191536677,0.8793777462557202,13.201512,2.052755,-3.0538423,0.13252287,13.968945,-11.732765,2.8302124,0.4534164,-0.19187938,0.28009716,0.82410043,-8.175892,-1.4786199,3.0481808,1.9023274,-1.1547815,-0.06400919,0
0.02,9.009758670990013,5.583257206906992,-4.606252191536677,0.8793777462557202,13.201512,2.052755,-3.0538423,0.13252287,13.88716,-11.747265,2.8605504,0.4576581,-0.18104315,0.28584138,0.822233,-8.180671,-1.4213344,3.0194545,2.4763942,-1.6929865,-0.017716918,0
0.03,9.009758670990013,5.583257206906992,-4.606252191536677,0.8793777462557202,13.201512,2.052755,-3.0538423,0.13252287,13.805341,-11.761192,2.890602,0.46279657,-0.1668579,0.29260036,0.8199773,-8.182843,-1.3640912,2.9908915,2.9609635,-2.14723,0.026303776,0
0.04,9.009758670990013,5.583257206906992,-4.606252191536677,0.8793777462557202,9.186608,3.280716,-3.789036,0.11122744,13.723515,-11.774548,2.920369,0.46858758,-0.14980976,0.30015814,0.817244,-8.181808,-1.3070403,2.9625106,3.369984,-2.5306149,0.06816436,0
0.05,9.009758670990013,5.583257206906992,-4.606252191536677,0.8793777462557202,9.186608,3.280716,-3.789036,0.11122744,13.641717,-11.7873335,2.9498527,0.4748152,-0.13031173,0.30832472,0.8139442,-8.177062,-1.2503536,2.9342706,3.7152305,-2.8541982,0.107970834,0
0.060000000000000005,9.009758670990013,5.583257206906992,-4.606252191536677,0.8793777462557202,9.186608,3.280716,-3.789036,0.11122744,13.559988,-11.799556,2.9790542,0.4812906,-0.1087175,0.3169336,0.8099956,-8.168188,-1.1942225,2.906075,4.0066442,-3.1273112,0.145824,0
0.07,9.009758670990013,5.583257206906992,-4.606252191536677,0.8793777462557202,9.186608,3.280716,-3.789036,0.11122744,13.478369,-11.81122,3.0079734,0.48784995,-0.08533249,0.32583925,0.80532575,-8.154849,-1.1388557,2.8777778,4.252617,-3.3578284,0.18181969,0
0.08,11.207343669560354,4.823515125210513,-3.9638979805628716,0.7823833192045733,12.406901,3.9264526,-4.058285,0.39113218,13.396907,-11.822336,3.0366087,0.49435222,-0.060422353,0.3349148,0.7998731,-8.136778,-1.0844758,2.84919,4.460232,-3.5523953,0.21604906,0
0.09,11.207343669560354,4.823515125210513,-3.9638979805628716,0.7823833192045733,12.406901,3.9264526,-4.058285,0.39113218,13.315678,-11.832849,3.0650399,0.5005875,-0.03458015,0.34393662,0.79367745,-8.108189,-1.0183432,2.8369176,4.5169597,-3.6164792,0.24383923,0
0.09999999999999999,11.207343669560354,4.823515125210513,-3.9638979805628716,0.7823833192045733,12.406901,3.9264526,-4.058285,0.39113218,13.234765,-11.84271,3.093344,0.5064062,-0.00829793,0.3527345,0.7868051,-8.073444,-0.95397675,2.8237112,4.5648384,-3.6705725,0.27026576,0
0.10999999999999999,11.207343669560354,4.823515125210513,-3.9638979805628716,0.7823833192045733,12.406901,3.9264526,-4.058285,0.39113218,13.15423,-11.851935,3.12151,0.51177806,0.018344048,0.36127773,0.77924657,-8.032586,-0.8916154,2.8092694,4.6052475,-3.716234,0.29539552,0
0.11999999999999998,11.207343669560354,4.823515125210513,-3.9638979805628716,0.7823833192045733,12.406901,3.9264526,-4.058285,0.39113218,13.074134,-11.860549,3.1495242,0.51667786,0.045272894,0.3695391,0.7709963,-7.9856896,-0.83149165,2.7932842,4.6393523,-3.754778,0.31929216,0
0.12999999999999998,12.989076746080423,2.9204605406267765,-1.9020909260670094,0.06019597479710261,13.37079,3.1020303,-3.0428982,0.37965995,12.994536,-11.868572,3.1773694,0.521085,0.072422035,0.3774947,0.762052,-7.9328666,-0.7738299,2.775445,4.668135,-3.787315,0.3420162,0
0.13999999999999999,12.989076746080423,2.9204605406267765,-1.9020909260670094,0.06019597479710261,13.37079,3.1020303,-3.0428982,0.37965995,12.915542,-11.875989,3.205088,0.5248105,0.09867442,0.38499138,0.7527411,-7.864998,-0.71006906,2.767874,4.395489,-3.4934158,0.3281872,0
0.15,12.989076746080423,2.9204605406267765,-1.9020909260670094,0.06019597479710261,13.37079,3.1020303,-3.0428982,0.37965995,12.837256,-11.882784,3.2327173,0.5277732,0.1231472,0.3919546,0.7434125,-7.791018,-0.649376,2.7575862,4.165378,-3.2453344,0.3150368,0
0.16,14.181259889178575,0.8042879684843072,0.14915441760817646,-1.0812549839977634,13.403935,1.8057067,-2.7930684,0.8966277,12.75974,-11.888988,3.2602298,0.5300962,0.1461018,0.39846596,0.7340829,-7.7115035,-0.5916737,2.7444324,3.9711661,-3.0359287,0.30253166,0
0.17,14.181259889178575,0.8042879684843072,0.14915441760817646,-1.0812549839977634,13.403935,1.8057067,-2.7930684,0.8966277,12.6831,-11.89459,3.2876513,0.53181684,0.16684932,0.40446216,0.7250813,-7.616041,-0.5297393,2.7389636,3.5278888,-2.5902426,0.23920517,0
0.18000000000000002,14.181259889178575,0.8042879684843072,0.14915441760817646,-1.0812549839977634,13.403935,1.8057067,-2.7930684,0.8966277,12.607426,-11.899597,3.314989,0.5329962,0.18468034,0.40990686,0.716788,-7.5184083,-0.47232193,2.7278488,3.1130648,-2.1733072,0.17533828,0
0.19000000000000003,14.181259889178575,0.8042879684843072,0.14915441760817646,-1.0812549839977634,13.403935,1.8057067,-2.7930684,0.8966277,12.532743,-11.904046,3.3421965,0.53376377,0.19987331,0.41490725,0.70922446,-7.417534,-0.4177651,2.7131555,2.7528977,-1.8112732,0.11367689,0
0.20000000000000004,15.041699975147102,-1.2584069342491442,1.4215486878695631,-1.2416109196801943,12.375604,1.3356118,-1.432276,0.6314685,12.459086,-11.907961,3.369243,0.5342378,0.21282132,0.41956756,0.70232505,-7.3133707,-0.36529058,2.695714,2.4489324,-1.5056624,0.05504125,0
