t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz,throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,network_used
-2.0,16.427908,-10.433682000000001,2.219563,-0.4000597,0.33828384,0.84245366,0.12565067,-12.419435499999999,-2.4938537999999997,0.37275848,2.1962318,-0.07443921,-0.97920495,10.980869944926043,5.99999979783088,-5.99999992705688,-3.5572287994692107,12.726796,-0.18590412,-2.9788799999999998,-2.0842151999999996,0
-1.99,16.30327,-10.458110000000001,2.2231405,-0.39896098,0.34559268,0.83854353,0.13505799,-12.507739,-2.3916075,0.3423069,2.3593864,-0.5690723000000001,-1.0672691,10.980869944926043,5.99999979783088,-5.99999992705688,-3.5572287994692107,11.818462,-1.4839015,-5.530297,-0.36842838,0
-1.98,16.177769,-10.481515,2.2264,-0.39584035,0.35305494,0.83507895,0.14596494,-12.591759,-2.2892240000000004,0.30920482,2.5340924,-1.0236148,-1.1543219999999998,10.980869944926043,5.99999979783088,-5.99999992705688,-3.5572287994692107,11.818462,-1.4839015,-5.530297,-0.36842838,0
-1.97,16.051448999999998,-10.503894,2.2293172,-0.39083076,0.36069754,0.8319143,0.15832588,-12.67104,-2.1866047,0.27393556,2.7173305,-1.4430962,-1.2403042,10.980869944926043,5.99999979783088,-5.99999992705688,-3.5572287994692107,11.818462,-1.4839015,-5.530297,-0.36842838,0
-1.96,15.924363,-10.525246000000001,2.2318728,-0.38404006,0.36852965,0.8289052,0.17209058,-12.745171000000001,-2.0836926,0.23690456,2.9066240000000003,-1.8318338,-1.3251655,10.980869944926043,5.99999979783088,-5.99999992705688,-3.5572287994692107,9.826741,-1.3467766,-5.782169000000001,0.10906586,0
-1.95,15.796563,-10.545567,2.2340505,-0.3755554,0.37654567,0.8259091999999999,0.18720417,-12.813778999999998,-1.9804747,0.19844946,3.0999491000000003,-2.1935387000000004,-1.4088641000000002,10.980869944926043,5.99999979783088,-5.99999992705688,-3.5572287994692107,9.826741,-1.3467766,-5.782169000000001,0.10906586,0
-1.94,15.668107000000001,-10.564853999999999,2.235838,-0.3654473,0.38472763,0.82278615,0.20360711,-12.876522999999999,-1.8769883,0.15884835,3.295657,-2.5314028,-1.4913657,10.980869944926043,5.99999979783088,-5.99999992705688,-3.5572287994692107,9.826741,-1.3467766,-5.782169000000001,0.10906586,0
-1.93,15.539054,-10.583105999999999,2.2372243,-0.353773,0.393047,0.8193984000000001,0.22123508,-12.933092,-1.7733212,0.11832707,3.4924101999999997,-2.8481755,-1.5726423,10.980869944926043,5.99999979783088,-5.99999992705688,-3.5572287994692107,9.826741,-1.3467766,-5.782169000000001,0.10906586,0
-1.92,15.409467999999999,-10.600322,2.2382016,-0.34057919999999997,0.40146622,0.8156111999999999,0.2400188,-12.983203999999999,-1.6696131,0.07706529,3.6891312999999997,-3.1462274,-1.6526723,14.118343062922973,5.999999895267246,-5.999999959315176,-3.107436913399871,12.932383999999999,-1.2584791000000002,-6.930407000000001,0.9023585999999999,0
-1.91,15.279383,-10.616429,2.2388022000000003,-0.32549584,0.41015598,0.8112655,0.26013997,-13.032531,-1.5518399999999999,0.042922527,4.0323324000000005,-3.575271,-1.7225453000000002,14.118343062922973,5.999999895267246,-5.999999959315176,-3.107436913399871,12.932383999999999,-1.2584791000000002,-6.930407000000001,0.9023585999999999,0
